ID,QuestionText,CorrectAnswer
3127,"""// 予定人数が 定員(max) 以下であるか比べる記号を(****)に書いてね\nif (people (****) max) { ... }""",<=
3128,"""// 「テストが80点以上」かつ「宿題を出した」のように、両方成立(AND)を表す記号は？\nif (score >= 80 (****) isDone) { ... }""",&&
3129,"""// 「xが0より大きい」かつ「xが10より小さい」の範囲を表す記号を(****)に書いてね\nif (x > 0 (****) x < 10) { ... }""",&&
3130,"""// 条件Aと条件Bの両方がクリアできた時だけOKにしたい時の記号は？\nif (A (****) B) { ... }""",&&
3131,"""// 「土曜日」または「日曜日」のように、どちらか片方(OR)で良い時の記号は？\nif (day == 6 (****) day == 7) { ... }""",||
3132,"""// 「雨の日」または「槍が降る日」なら中止、という時の記号を(****)に書いてね\nif (rain (****) spear) { ... }""",||
3133,"""// 条件AかBのどちらか一方が正しい時にtrueになる記号は？\nif (A (****) B) { ... }""",||
3134,"""// 条件の結果を「反対（否定）」にする記号を(****)に書いてね\nif ((****)(score == 100)) { ... }""",!
3135,"""// flag が true ではない（!true → false）ことを表す記号は？\nboolean b = (****)true;""",!
3136,"""// 「もし〜ではないなら」と否定の条件を作りたい時の記号を(****)に書いてね\nif ((****)isReady) { ... }""",!
3137,"""// ifの( )のすぐ後ろに書くと、判断が終了してしまう「魔の記号」は？\nif (x > 5)(****) { ... }""",;
3138,"""// Javaの命令の最後に必ず付ける「。」と同じ意味の記号は？\nSystem.out.println(""Hello"")(****)""",;
3139,"""// 変数宣言 int x = 10 の最後に忘れてはいけない記号は？\nint x = 10(****)""",;
3140,"""// xを2で割った「あまり」が0なら偶数。この「あまり」を出す記号は？\nif (x (****) 2 == 0) { ... }""",%
3141,"""// 3の倍数かどうか(x % 3 == 0)を調べる時に使う、余りを出す記号は？\nif (x (****) 3 == 0) { ... }""",%
3142,"""// 10を3で割った時の余り(1)を求めるための記号を(****)に書いてね\nint r = 10 (****) 3;""",%
3143,"""// if文の( )の中が最終的にこの値(****)になれば、{ } の中身が実行されるよ\nif ((****)) { ... }""",true
3144,"""// (5 > 3) という条件式の結果は、trueかfalseどっち？\nboolean b = (5 > 3); // bの中身は(****)""",true
3145,"""// boolean型の変数に、「正しい」という意味の値を代入してね\nboolean flag = (****);""",true
3146,"""// if文の( )の中がこの値(****)だと、{ } の中身は無視されるよ\nif ((****)) { ... }""",false
3147,"""// (10 == 0) という条件式の結果は、trueかfalseどっち？\nboolean b = (10 == 0); // bの中身は(****)""",false
3148,"""// 成立しない条件を意味するキーワードを(****)に書いてね\nboolean isSuccess = (****);""",false
3149,"""// ifの条件が合った時に動かす命令の「始まり」を示す記号を(****)に書いてね\nif (a) (****) ... }"""," {"
3150,"""// ifの条件が合った時に動かす命令の「終わり」を示す記号を(****)に書いてね\nif (a) { ... (****)"""," }"
3150,"""// ifの条件が合った時に動かす命令の「終わり」を示す記号を(****)に書いてね\nif (a) { ... (****)"""," }"
3142,"""// 10を3で割った時の余り(1)を求めるための記号を(****)に書いてね\nint r = 10 (****) 3;""",%
3143,"""// if文の( )の中が最終的にこの値(****)になれば、{ } の中身が実行されるよ\nif ((****)) { ... }""",true
3144,"""// (5 > 3) という条件式の結果は、trueかfalseどっち？\nboolean b = (5 > 3); // bの中身は(****)""",true
3145,"""// boolean型の変数に、「正しい」という意味の値を代入してね\nboolean flag = (****);""",true
3146,"""// if文の( )の中がこの値(****)だと、{ } の中身は無視されるよ\nif ((****)) { ... }""",false
3147,"""// (10 == 0) という条件式の結果は、trueかfalseどっち？\nboolean b = (10 == 0); // bの中身は(****)""",false
3148,"""// 成立しない条件を意味するキーワードを(****)に書いてね\nboolean isSuccess = (****);""",false
3149,"""// ifの条件が合った時に動かす命令の「始まり」を示す記号を(****)に書いてね\nif (a) (****) ... }"""," {"
3150,"""// ifの条件が合った時に動かす命令の「終わり」を示す記号を(****)に書いてね\nif (a) { ... (****)"""," }"
