ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer
6310,// 文字列化\nint[] a = {1};\nSystem.out.println(Arrays.toString(a)); // ____,1,{1},(1),[1],D
6311,// ソート\nint[] a = {3■ 1};\nArrays.sort(a);\nSystem.out.println(a[0]); // ____,3,1,2,0,B
6312,// 内容比較\nint[] a = {1};\nint[] b = {1};\nSystem.out.println(Arrays.equals(a■ b)); // ____,false,error,true,null,C
6313,// final要素変更\nfinal int[] a = {10};\na[0] = 20;\n// 可能？,不可,可能,無視,警告,B
6314,// final再代入\nfinal int[] a = {10};\n// a = new int[3];\n// 可能？,不可,可能,警告,無視,A
6315,// null代入\nString[] s = new String[1];\ns[0] = null;\n// 可能？,不可,エラー,空文字,可能,D
6316,// 異型代入\nint[] a = new int[1];\n// a[0] = 3.5;\n// 結果は？,代入される,切り捨て,エラー,実行時エラー,C
6317,// var型推論\nvar a = new int[]{1};\n// aの型は？,int,int[],Object,var,B
6318,// Object代入\nObject obj = new int[]{1};\n// 可能？,いいえ,エラー,はい,不明,C
6319,// short初期値\nshort[] s = new short[1];\nSystem.out.println(s[0]); // ____,0.0,null,false,0,D
6320,// long初期値\nlong[] l = new long[1];\nSystem.out.println(l[0]); // ____,0.0,0,null,false,B
