ID,QuestionText,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer
4115,int total = 0;\nfor (int i = 1; i < 3; i++) {\n for (int j = 1; j < 2; j++) {\n total += i;\n }\n}\nSystem.out.println(total);,1,3,2,4,B
4116,for (int i = 1; i < 3; i++) {\n for (int j = 0; j < i; j++) {\n System.out.print(i);\n }\n},122,112,12,2,A
4117,for (int i = 0; i < 1; i++) {\n for (int j = 0; j < 3; j++) {\n System.out.print(j);\n }\n},0,12,123,0,B
4118,for (int i = 0; i < 2; i++) {\n for (int j = 0; j < 1; j++) {\n System.out.print(i);\n }\n},1,11,101,10,A
4119,int sum = 0;\nfor (int i = 1; i <= 5; i++) {\n sum += i;\n}\nSystem.out.println(sum);,10,15,5,1,B
4120,int product = 1;\nfor (int i = 1; i <= 4; i++) {\n product *= i;\n}\nSystem.out.println(product);,4,24,10,1,B
4121,int count = 0;\nfor (int i = 1; i <= 10; i++) {\n if (i % 2 == 0) count++;\n}\nSystem.out.println(count);,4,5,10,0,B
4122,int total = 0;\nfor (int i = 0; i < 5; i++) {\n total += 10;\n}\nSystem.out.println(total);,10,50,5,0,B
4123,int x = 1;\nfor (int i = 0; i < 3; i++) {\n x *= 3;\n}\nSystem.out.println(x);,9,27,3,1,B
4124,int avg = 0;\nint sum = 0;\nfor (int i = 1; i <= 3; i++) {\n sum += i;\n}\navg = sum / 3;\nSystem.out.println(avg);,3,2,1,6,B
4125,int result = 0;\nfor (int i = 1; i < 5; i++) {\n if (i % 2 != 0) result++;\n}\nSystem.out.println(result);,1,2,3,4,B
4126,int y = 0;\nfor (int i = 0; i < 5; i++) {\n y += i;\n}\nSystem.out.println(y);,5,10,4,0,B
4127,int total = 100;\nfor (int i = 0; i < 2; i++) {\n total -= 10;\n}\nSystem.out.println(total);,90,80,100,20,B
4128,int z = 1;\nfor (int i = 0; i < 4; i++) {\n z *= 1;\n}\nSystem.out.println(z);,4,1,0,エラー,B
4129,int sum = 0;\nfor (int i = 10; i <= 30; i += 10) {\n sum += i;\n}\nSystem.out.println(sum);,30,60,40,10,B
4130,"for (int i = 0; i < 3; i++) {\n for (int j = 0; j < 1; j++) {\n System.out.print(""L"");\n }\n}",L,LL,LLL,何も表示されない,C
4131,int x = 0;\nfor (int i = 0; i < 2; i++) {\n x = x + 10;\n}\nSystem.out.println(x);,10,20,0,2,B
4132,for (int j = 1; j <= 5; j += 3) {\n System.out.print(j);\n},14,147,12345,4,A
4133,int count = 0;\nfor (int i = 10; i > 0; i -= 5) {\n count++;\n}\nSystem.out.println(count);,1,2,3,4,B
4134,for (int l = 0; l <= 2; l++) {\n System.out.print(l * 2);\n},24,24,12,4,A
4135,int num = 1;\nfor (int i = 0; i < 3; i++) {\n num *= 1;\n}\nSystem.out.println(num);,3,1,0,エラー,B
4136,for (int i = 0; i < 1; i++) {\n for (int j = 0; j < 3; j++) {\n System.out.print(j);\n }\n},0,12,123,0,B
4201,int i = 0;\nwhile (i < 3) {\n System.out.print(i);\n i++;\n},12,123,123,0,A
4202,"int count = 5;\nwhile (count > 0) {\n System.out.print(""A"");\n count--;\n}",AAAAA,AAAA,A,何も表示されない,A
4203,int sum = 0;\nint j = 1;\nwhile (j <= 4) {\n sum += j;\n j++;\n}\nSystem.out.println(sum);,4,6,10,1,C
4204,int x = 0;\nwhile (x < 5) {\n x += 2;\n System.out.print(x);\n},24,246,24,2468,B
4205,"int k = 10;\nwhile (k > 5) {\n System.out.print(""X"");\n k -= 3;\n}",XX,XXX,X,XXXX,A
4206,int l = 1;\ndo {\n System.out.print(l);\n l++;\n} while (l < 3);,12,123,1,2,A
4207,"int m = 5;\nwhile (m < 5) {\n System.out.print(""Loop"");\n m++;\n}",Loop,Loop\nLoop,何も表示されない,5,C
4208,int n = 1;\nwhile (n < 5) {\n n *= 2;\n System.out.print(n);\n},24,248,124,1248,B
4209,int p = 1;\ndo {\n System.out.print(p);\n p++;\n} while (p < 1);,1,何も表示されない,1\n2,0,A
4210,int q = 10;\nwhile (q > 0) {\n q /= 3;\n System.out.print(q);\n},3,31,310,1,B
4211,int r = 0;\nwhile (r < 3) {\n r++;\n System.out.print(r);\n},123,12,3,1,A
4212,int s = 1;\nwhile (s <= 3) {\n if (s == 2) break;\n System.out.print(s);\n s++;\n},1,12,123,2,A
4213,int t = 0;\nwhile (t < 5) {\n t++;\n if (t % 2 == 0) continue;\n System.out.print(t);\n},135,13,24,12345,B
4214,"int u = 5;\nwhile (u > 0) {\n System.out.print(""""B"""");\n u -= 2;\n}",B,BBB,BB,BBBB,B
4215,int v = 1;\nwhile (v < 4) {\n System.out.print(v * 2);\n v++;\n},246,24,248,6,A
4216,int w = 3;\nwhile (w > 0) {\n w--;\n}\nSystem.out.println(w);,3,0,1,2,B
4217,int y = 5;\ndo {\n System.out.print(y);\n y++;\n} while (y < 5);,5,何も表示されない,6,56,A
4218,int z = 4;\nwhile (z > 1) {\n z--;\n System.out.print(z);\n},321,432,32,1,A
